instance;time;value
10_ulysses_3.tsp;0.630000114440918;269.7545297894771
10_ulysses_6.tsp;0.9889998435974121;68.23878248645376
10_ulysses_9.tsp;1.2079999446868896;34.58379565755499
14_burma_3.tsp;0.8629999160766602;311.4048526426239
14_burma_6.tsp;1.928999900817871;83.88043819155213
14_burma_9.tsp;4.32699990272522;40.70683762618664
22_ulysses_3.tsp;7.352999925613403;891.6195927586459
22_ulysses_6.tsp;16.062999963760376;333.2244397735712
22_ulysses_9.tsp;15.542999982833862;126.25879256431821
26_eil_3.tsp;16.197999954223633;4779.532928943943
26_eil_6.tsp;24.53500008583069;2020.759428722084
26_eil_9.tsp;43.56700015068054;1249.391615230219
30_eil_3.tsp;33.206000089645386;6600.89045371998
30_eil_6.tsp;24.567999839782715;3038.736722440872
30_eil_9.tsp;45.98400020599365;1720.763647537883
34_pr_3.tsp;58.300999879837036;1.343532893317136e6
34_pr_6.tsp;76.6949999332428;635111.1524807771
34_pr_9.tsp;95.01099991798401;321221.55882252235
38_rat_3.tsp;70.8420000076294;17502.691599832335
38_rat_6.tsp;124.96600008010864;7534.839832166101
38_rat_9.tsp;99.93299984931946;5389.26078349128
40_eil_3.tsp;77.11800003051758;13948.584738331558
40_eil_6.tsp;115.91700005531311;6562.083801220372
40_eil_9.tsp;92.56599998474121;3883.540662446636
